Tenant Id,Tenant Name,Create Role,Create User,Create Domain,List Domain,Change Domain,Compliance Status
88b5ae8276244d75aae64099618aa2fe,embstg-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
88bbc52dda344c5abc34a6f67ab6b2a1,SSO-Private-0.6-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
891a5c854e8948dd97f83388ef49ca54,OS-Self-Service-Tool,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
8942e0f6ec5a4cd796497929e9d8b574,1be9223c4ad4485a9255fddd2487e4a4-fca2a0b4-55de-4512-822d-15ca5b4,,,,,,
8a0e8ba8db244d6fab2609ff9ec1378b,Helios,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
8ad6e6f486a946eda64c3fd0917f753a,Project-freeTrial-Learning-Lab,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
8bf9b9ebd9ee49daad2a6a3d24c9f6f2,eds data discovery,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
8f158f1d97514bf8a9b4b95019204f90,tmx-common-dev,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
8f853773eb2c4a4982138443826536a4,CloudDB-Security-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
9328d829c16c4e3b9acf90e04845a78d,RTP build project,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
93f6d6e0ec9747dfb9b05aec290eca93,1be9223c4ad4485a9255fddd2487e4a4-a6b6ffb6-ffcd-44d2-a34f-fbd6eef,,,,,,
94bff42d23104dc98377fcf4e8aa86b0,ESGSTG-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
95e28bfe67bc4c59b5bdd1b830967787,CICD-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
96cb90d577224929b65afcc1c96b6bfd,NGCS Billing Calculator,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
99a1c995dfac44dba374fbd97aead531,DBA-Tesla-Automation-Infrastructure,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
99f1f837a8004092926887d46188e726,IAC-Demo,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
9a95bba6d9f4439b85d2e4739a8f234d,OPL-Dev,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
9ac0db374d2244028b5ef03fe70b64aa,EB-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
9fe81fcf5c7143889629dae0fd2fd17e,demo-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
a260f264c7eb470690bdcbc3c08fa877,LTaaS-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
a2c4167966474fe3903255e28d0ba813,Entitlement Base Foundation NPRD 2,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
a46f46882e214a99865b1c08dad6260b,EngIT-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
a5267e538614461486b5e4c94af236a6,ECE-NPRD,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
a6fe454c716a4eb09c3be408c109ddd9,koen-internal-fip-net,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
a7790159ccf24642a3ffb01d72786732,internal-fip-net-devops,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
a817086e3aca44f69c438ae1dd4c01c9,ecn-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
aaf747b91a114a1f827b4e459793786c,AIMPRD-PRD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
ab2a8be79b704e81aeec6b90c2cdfdd0,CD-Services,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
ab777115b97b403d8b70fe746df82ab7,bgladden-internal-direct-net,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
acfffbb22dbc4e6cbf89c6d4d1e46c7c,VMS-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
ae91e9d448054dbb88fd6b47fafa42c8,BCS Apps,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
b0281e4b917b4536a731565e5655f7e5,US-AS-ATT,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
b4f16a9577c84604843fd2712f995180,GGPOC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
b5c2d893a44b435c97e75087f278b561,OPL-PRD-APP-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
b8f0e07f065d48faad497a6cd69d3cb7,LTaaS Platform3 Openstack,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
ba41923fefa94e378655e4c46e5504e5,ken-internal-fip-net,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
bbbcdfe0a6984dad86ba40d6bf6be04b,openstack-qa-tenant-2,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
bedcbdecfdea4d3494e97fbf712ae4fd,1be9223c4ad4485a9255fddd2487e4a4-9663c4a3-8744-4cb4-bc1c-ac63282,,,,,,
c010c70283cd42dc9c33e7157a0387ef,EB-LT-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c0d389a472dc45ff99426043ed87381b,sisaghol-internal-direct-net,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c18d1d3784d14f1f94f5ff83db761a6f,andrpric-rtp-3,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
