Tenant Name,Tenant ID,Application ID,Application Name,Pod Name,Pod Namespace,Pod Status,Container ID,Image Name,Image ID,Container Start Date,Container Exposed Port ,Compliance_Status
cheewa-alpd-int-rtp,93d993ed-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-alpd-int-rtp-5bb4c9f8fc-n9mg8,cheewa-alpd-int-rtp,Pending,None,None:Revda5e11729a4f8716ea3442db1b932fc033565bbe-Bld93-dev,,None,8080/ ,Non-compliant
cheewa-alpd-int-rtp,93d993ed-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-alpd-int-rtp-6497fdcb74-wblgk,cheewa-alpd-int-rtp,Pending,None,None:Rev8d1301456d837ee4a3b72904e4811c96cbe65fee-Bld92-dev,,None,8080/ ,Non-compliant
cheewa-alpd-int-rtp,93d993ed-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-alpd-int-rtp-697bc45796-hwxsr,cheewa-alpd-int-rtp,Pending,None,None:Rev64dc2d7e3134cbc8ce7334980318e5b226fe84f8-Bld95-dev,,None,8080/ ,Non-compliant
cheewa-alps-int-rtp,9ab830fb-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-alps-int-rtp-55dc7449d9-mvpw2,cheewa-alps-int-rtp,Pending,None,None:Rev64dc2d7e3134cbc8ce7334980318e5b226fe84f8-Bld95-dev,,None,8080/ ,Non-compliant
cheewa-alps-int-rtp,9ab830fb-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-alps-int-rtp-64479444dc-5bppr,cheewa-alps-int-rtp,Pending,None,None:Rev8d1301456d837ee4a3b72904e4811c96cbe65fee-Bld92-dev,,None,8080/ ,Non-compliant
cheewa-alps-int-rtp,9ab830fb-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-alps-int-rtp-6d8655c5b8-rpcs8,cheewa-alps-int-rtp,Pending,None,None:Revda5e11729a4f8716ea3442db1b932fc033565bbe-Bld93-dev,,None,8080/ ,Non-compliant
cheewa-dtst-int-rtp,83854532-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-dtst-int-rtp-549c4c6d95-5plr2,cheewa-dtst-int-rtp,Pending,None,None:Revda5e11729a4f8716ea3442db1b932fc033565bbe-Bld93-dev,,None,8080/ ,Non-compliant
cheewa-dtst-int-rtp,83854532-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-dtst-int-rtp-5d5fd679b4-sj4th,cheewa-dtst-int-rtp,Pending,None,None:Rev64dc2d7e3134cbc8ce7334980318e5b226fe84f8-Bld95-dev,,None,8080/ ,Non-compliant
cheewa-dtst-int-rtp,83854532-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-dtst-int-rtp-79bfcfc7c4-ckc52,cheewa-dtst-int-rtp,Pending,None,None:Rev8d1301456d837ee4a3b72904e4811c96cbe65fee-Bld92-dev,,None,8080/ ,Non-compliant
cheewa-stst-int-rtp,8b58e376-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-stst-int-rtp-5555464d74-rl226,cheewa-stst-int-rtp,Pending,None,None:Revda5e11729a4f8716ea3442db1b932fc033565bbe-Bld93-dev,,None,8080/ ,Non-compliant
